Galaxy,Name_UI,uband,gband,rband,iband,zband,equatorialCoord_UI,radialVelocity_UI,luminosity_UI,angularSize_UI,Camera
nullGalaxy00,nullName_UI;nullName_00,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-u-004010-1-0104.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-g-004010-1-0104.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-r-004010-1-0104.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-i-004010-1-0104.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-z-004010-1-0104.fits.bz2,228.31848;27.90492,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy01,nullName_UI;nullName_01,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-u-004010-1-0105.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-g-004010-1-0105.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-r-004010-1-0105.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-i-004010-1-0105.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-z-004010-1-0105.fits.bz2,228.47226;27.84230,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy02,nullName_UI;nullName_02,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-u-004010-1-0106.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-g-004010-1-0106.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-r-004010-1-0106.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-i-004010-1-0106.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-z-004010-1-0106.fits.bz2,228.62586;27.77950,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy03,nullName_UI;nullName_03,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-u-004010-1-0107.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-g-004010-1-0107.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-r-004010-1-0107.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-i-004010-1-0107.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4010/1/frame-z-004010-1-0107.fits.bz2,228.77928;27.71652,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy04,nullName_UI;nullName_04,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-u-004570-5-0130.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-g-004570-5-0130.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-r-004570-5-0130.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-i-004570-5-0130.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-z-004570-5-0130.fits.bz2,228.08765;27.88133,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy05,nullName_UI;nullName_05,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-u-004570-4-0131.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-g-004570-4-0131.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-r-004570-4-0131.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-i-004570-4-0131.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-z-004570-4-0131.fits.bz2,228.05750;27.43671,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy06,nullName_UI;nullName_06,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-u-004570-5-0131.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-g-004570-5-0131.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-r-004570-5-0131.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-i-004570-5-0131.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-z-004570-5-0131.fits.bz2,228.24337;27.82258,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy07,nullName_UI;nullName_07,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/3/frame-u-004570-3-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/3/frame-g-004570-3-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/3/frame-r-004570-3-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/3/frame-i-004570-3-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/3/frame-z-004570-3-0132.fits.bz2,228.02754;26.99194,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy08,nullName_UI;nullName_08,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-u-004570-4-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-g-004570-4-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-r-004570-4-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-i-004570-4-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/4/frame-z-004570-4-0132.fits.bz2,228.21263;27.37799,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy09,nullName_UI;nullName_09,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-u-004570-5-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-g-004570-5-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-r-004570-5-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-i-004570-5-0132.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4570/5/frame-z-004570-5-0132.fits.bz2,228.39893;27.76366,null_radial,null_luminosity,null_angular,Rotate
